Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_16_65,VPWR,li1,38.1800,57.1200,1.800000
FILLER_0_16_53,VPWR,li1,32.6600,57.1200,1.800000
FILLER_0_16_41,VPWR,li1,27.1400,57.1200,1.800000
FILLER_0_16_29,VPWR,li1,21.6200,57.1200,1.800000
FILLER_0_16_26,VPWR,li1,17.9400,57.1200,1.800000
FILLER_0_16_18,VPWR,li1,15.6400,57.1200,1.800000
FILLER_0_16_6,VPWR,li1,11.0400,57.1200,1.800000
FILLER_0_15_237,VPWR,li1,115.0000,51.6800,1.799997
FILLER_0_15_225,VPWR,li1,111.7800,51.6800,1.799997
FILLER_0_15_223,VPWR,li1,108.3300,51.6800,1.799997
FILLER_0_15_217,VPWR,li1,106.7200,51.6800,1.799997
FILLER_0_15_205,VPWR,li1,102.5800,51.6800,1.799997
FILLER_0_15_193,VPWR,li1,97.0600,51.6800,1.799997
FILLER_0_15_181,VPWR,li1,91.5400,51.6800,1.799997
FILLER_0_15_169,VPWR,li1,86.0200,51.6800,1.799997
FILLER_0_15_167,VPWR,li1,82.5700,51.6800,1.799997
FILLER_0_15_161,VPWR,li1,80.9600,51.6800,1.799997
FILLER_0_15_149,VPWR,li1,76.8200,51.6800,1.799998
FILLER_0_15_137,VPWR,li1,71.3000,51.6800,1.799998
FILLER_0_15_125,VPWR,li1,65.7800,51.6800,1.799998
FILLER_0_15_113,VPWR,li1,60.2600,51.6800,1.799998
FILLER_0_15_111,VPWR,li1,56.8100,51.6800,1.799998
FILLER_0_15_105,VPWR,li1,55.2000,51.6800,1.799998
FILLER_0_15_93,VPWR,li1,51.0600,51.6800,1.799998
FILLER_0_15_81,VPWR,li1,45.5400,51.6800,1.799998
FILLER_0_15_69,VPWR,li1,40.0200,51.6800,1.799998
FILLER_0_15_57,VPWR,li1,34.5000,51.6800,1.799998
FILLER_0_15_54,VPWR,li1,30.8200,51.6800,1.799998
FILLER_0_15_42,VPWR,li1,27.6000,51.6800,1.799998
FILLER_0_15_30,VPWR,li1,22.0800,51.6800,1.799999
FILLER_0_15_18,VPWR,li1,14.0300,51.6800,1.799998
FILLER_0_15_6,VPWR,li1,11.0400,51.6800,1.799998
FILLER_0_14_233,VPWR,li1,114.0800,51.6800,1.799997
FILLER_0_14_221,VPWR,li1,109.9400,51.6800,1.799997
FILLER_0_14_209,VPWR,li1,104.4200,51.6800,1.799997
FILLER_0_14_197,VPWR,li1,98.9000,51.6800,1.799997
FILLER_0_14_195,VPWR,li1,95.4500,51.6800,1.799997
FILLER_0_14_189,VPWR,li1,93.8400,51.6800,1.799997
